Column1,tweet_dt,id,username,name,tweet,like_count,reply_count,retweet_count,retweeted,sentiment_true,emotion_true
0,13/08/2021,1.43E+18,d3dhemmer,Hans-Peter Hemmer,Worte sind wie Schall und Rauch. Please have a look!,0,0,0,FALSE,neutral ,neutral 
1,13/08/2021,1.43E+18,guillau40993237,guillaume,"Hello Elon, I'm a young male who couldn't see what you are trying to achieve.

I see that you have more p…",0,0,0,FALSE,negative,surprise
2,13/08/2021,1.43E+18,mikepiko,Mike Pikowski,Electric ? I´m Shocked ! I always thought you were a Diesel guy who builds Electric Car Plants for Million Dollars…,0,0,0,FALSE,negative,surprise
3,13/08/2021,1.43E+18,TamaraAlexis,Tamara Alexis Mrs. Putin,?  who is following Elon’s musk from Canada’s Tepic moon based infectious laughter clown computing E…,0,0,0,FALSE,negative,anger
4,13/08/2021,1.43E+18,joe_lipowski,Joe Lipowski,"Without question, cycling is significantly kinder to the environment than any form o…",0,0,0,FALSE,positive,joy
5,13/08/2021,1.43E+18,orthereaboot,luis carruthers,Imagine paying $117k for this car &amp; having none of the issues addressed.  Welcome to the $TSLA Model X experience.…,2,0,1,FALSE,negative ,neutral 
6,13/08/2021,1.43E+18,newsfilterio,Investor News,Musk Says Tesla’s Delayed Gigafactory Should Open in October. The Shares Are Up. $TSLA $TWTR,0,0,0,FALSE,neutral ,neutral 
7,13/08/2021,1.43E+18,dato_kipiani,dato kipiani,#ElonMusk When will Tesla start selling cars on the Dodge?,0,0,0,FALSE,neutral ,neutral 
8,13/08/2021,1.43E+18,YoungCosmonaut,young cosmonaut,I just became an even bigger Tesla fan boy,0,0,0,FALSE,positive,joy
9,13/08/2021,1.43E+18,alexandrejaquet,*Alexandre-Ludovic*,Not sure he is rigth.,0,0,0,FALSE,negative,anger
10,13/08/2021,1.43E+18,djt_q17,Eagle 17 ??,PAT369 on the ground at DFW - Tesla numbers?,0,0,0,FALSE,neutral ,neutral 
